id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
0Safe_safe_GE__ETF1	24	4.049e-05	0.00044424	0.002221	21	15	-0.7412	0.4335	0.79245	0.999995	54	4	-0.7412
HSP90B1__IGF1R	32	4.8433e-05	0.00078367	0.00374	22	21	-0.40413	0.99998	1.0	0.999995	99	1	-0.40413
CDK2__EZH2	32	6.9632e-05	0.00099331	0.004535	23	22	-0.27878	0.97045	0.99805	0.999995	79	5	-0.27878
CDK2__MAPK13	32	0.00012757	0.0016722	0.007316	24	21	-0.25091	1.0	1.0	0.999995	101	0	-0.25091
IGF1R__MAPK13	32	0.00014864	0.0018519	0.007778	25	20	-0.23684	0.99104	0.9995	0.999995	85	4	-0.23684
0Safe_safe_ACOC__CDK2	24	0.00022063	0.0022711	0.009172	26	17	-0.2368	0.9881	0.99848	0.999995	83	1	-0.2368
HSP90B1__HSP90B1	16	0.0026701	0.017525	0.068154	27	11	-0.3599	0.87647	0.96993	0.999995	75	3	-0.3599
IGF1R__WNT5A	32	0.0027698	0.024254	0.090952	28	19	-0.21819	0.8835	0.98769	0.999995	76	5	-0.21819
HSP90B1__ULK1	32	0.018025	0.11232	0.406691	29	17	-0.19896	0.99189	0.99953	0.999995	86	4	-0.19896
0Safe_safe_MP__CDK2	24	0.055724	0.23847	0.80772	30	12	-0.22617	0.99996	0.99996	0.999995	95	1	-0.22617
0Safe_safe_GE__CDK2	24	0.06832	0.27653	0.90738	31	12	-0.19896	0.99749	0.99966	0.999995	87	3	-0.19896
0Safe_safe_U3__ETF1	8	0.082582	0.23348	0.80772	32	4	-0.51461	0.97262	0.97296	0.999995	80	0	-0.51461
CDK2__TRIB2	32	0.084473	0.34111	0.999995	33	15	-0.15035	0.99829	0.99985	0.999995	89	3	-0.15035
0Safe_safe_ACOC__IGF1R	24	0.12651	0.41312	0.999995	34	10	-0.10123	0.99861	0.99978	0.999995	90	2	-0.10123
0Safe_safe_GE__HSP90B1	24	0.28201	0.64987	0.999995	35	10	-0.025832	0.72947	0.943	0.999995	63	5	-0.025832
HSP90B1__WNT5A	32	0.30211	0.69916	0.999995	36	11	-0.055192	0.89708	0.98951	0.999995	77	8	-0.055192
CDK2__CTNNB1	32	0.3653	0.75815	0.999995	37	10	-0.094364	0.41212	0.80233	0.999995	52	11	-0.094364
CTNNB1__IGF1R	32	0.37441	0.76622	0.999995	38	12	-0.060916	0.20131	0.57802	0.999995	45	7	-0.060916
0Safe_safe_GE__IGF1R	24	0.3784	0.74349	0.999995	39	8	-0.063293	0.80205	0.96439	0.999995	69	5	-0.063293
HSP90B1__MAPK13	32	0.37957	0.7707	0.999995	40	12	-0.065758	0.87536	0.98668	0.999995	74	4	-0.065758
IGF1R__TRIB2	32	0.38923	0.77901	0.999995	41	12	-0.075349	0.56064	0.89249	0.999995	57	5	-0.075349
HSP90B1__TRIB2	32	0.53161	0.87401	0.999995	42	10	-0.046211	0.3484	0.75082	0.999995	50	11	-0.046211
EZH2__HSP90B1	32	0.56861	0.89333	0.999995	43	10	0.014388	0.77241	0.96677	0.999995	65	10	0.014388
ULK1__ULK1	16	0.62127	0.86531	0.999995	44	5	-0.053043	0.9992	0.99926	0.999995	91	1	-0.053043
0Safe_safe_ACOC__HSP90B1	24	0.63972	0.90556	0.999995	45	7	-0.030415	0.86692	0.97895	0.999995	73	6	-0.030415
0Safe_safe_U3__CDK2	8	0.65133	0.80633	0.999995	46	1	-0.015802	0.97731	0.97735	0.999995	81	0	-0.015802
0Safe_safe_U3__0Safe_safe_U3	1	0.655	0.65788	0.999995	47	0	0.49807	0.345	0.34574	0.825055	49	1	0.49807
0Safe_safe_ACOC__ULK1	24	0.70641	0.93115	0.999995	48	7	0.013832	0.74034	0.94604	0.999995	64	6	0.013832
0Safe_safe_U3__HSP90B1	8	0.7355	0.85066	0.999995	49	2	0.20885	0.58595	0.78496	0.999995	58	3	0.20885
0Safe_safe_U3__IGF1R	8	0.77319	0.87314	0.999995	50	2	-0.15935	0.79433	0.88836	0.999995	68	2	-0.15935
0Safe_safe_MP__HSP90B1	24	0.83089	0.96889	0.999995	51	5	-0.0082693	0.93929	0.99197	0.999995	78	5	-0.0082693
CTNNB1__HSP90B1	32	0.88754	0.98729	0.999995	52	8	0.10602	0.09854	0.38112	0.889273	43	11	0.10602
0Safe_safe_U3__WNT5A	8	0.89079	0.92333	0.999995	53	1	0.2572	0.09559	0.26316	0.67394	42	5	0.2572
EZH2__ULK1	32	0.90039	0.98937	0.999995	54	8	-0.0050909	0.70352	0.94706	0.999995	61	10	-0.0050909
MAPK13__ULK1	32	0.92521	0.99252	0.999995	55	7	0.015542	0.79074	0.97044	0.999995	66	8	0.015542
0Safe_safe_U3__EZH2	8	0.94062	0.94638	0.999995	56	1	0.33222	0.028518	0.1074	0.304791	39	6	0.33222
0Safe_safe_MP__0Safe_safe_U3	6	0.94287	0.94271	0.999995	57	0	0.16973	0.36969	0.58311	0.999995	51	2	0.16973
0Safe_safe_MP__IGF1R	24	0.95779	0.99414	0.999995	58	4	-0.021458	0.83447	0.97272	0.999995	71	6	-0.021458
0Safe_safe_ACOC__0Safe_safe_U3	6	0.96279	0.96266	0.999995	59	0	0.19664	0.64182	0.77167	0.999995	59	2	0.19664
0Safe_safe_GE__ULK1	24	0.97537	0.99642	0.999995	60	3	0.061629	0.72888	0.94279	0.999995	62	7	0.061629
MAPK13__WNT5A	32	0.97574	0.99812	0.999995	61	6	0.092473	0.062806	0.28434	0.694444	40	16	0.092473
0Safe_safe_GE__0Safe_safe_U3	6	0.97925	0.97904	0.999995	62	0	0.28082	0.12027	0.28439	0.694444	44	4	0.28082
0Safe_safe_U3__ULK1	8	0.98058	0.98046	0.999995	63	0	0.18078	0.55051	0.7581	0.999995	56	3	0.18078
0Safe_safe_U3__MAPK13	8	0.98298	0.98281	0.999995	64	0	0.1874	0.23151	0.46484	0.999995	46	4	0.1874
0Safe_safe_U3__TRIB2	8	0.98702	0.9874	0.999995	65	0	0.32446	0.093148	0.25808	0.67394	41	4	0.32446
MAPK13__MAPK13	16	0.99019	0.99611	0.999995	66	1	0.19726	0.0011403	0.0085305	0.035828	26	11	0.19726
WNT5A__WNT5A	16	0.99268	0.99654	0.999995	67	1	0.1844	0.0013912	0.009998	0.040377	27	10	0.1844
0Safe_safe_ACOC__0Safe_safe_ACOC	9	0.9947	0.99462	0.999995	68	0	0.12787	0.024424	0.096172	0.288515	37	6	0.12787
0Safe_safe_ACOC__MAPK13	24	0.99514	0.99921	0.999995	69	3	0.14436	0.020723	0.11807	0.326258	36	13	0.14436
0Safe_safe_MP__WNT5A	24	0.99584	0.99935	0.999995	70	1	0.20324	0.00011596	0.0013327	0.007049	19	18	0.20324
EZH2__MAPK13	32	0.99688	0.99973	0.999995	71	3	0.15583	0.027878	0.15931	0.428923	38	17	0.15583
0Safe_safe_U3__CTNNB1	8	0.9971	0.99701	0.999995	72	0	0.5808	0.00044403	0.0030897	0.014747	24	6	0.5808
ULK1__WNT5A	32	0.99716	0.99974	0.999995	73	4	0.044725	0.80389	0.97311	0.999995	70	8	0.044725
EZH2__EZH2	16	0.99786	0.99813	0.999995	74	1	0.23673	0.013937	0.074768	0.230901	34	10	0.23673
0Safe_safe_ACOC__EZH2	24	0.9979	0.99958	0.999995	75	2	0.20887	0.017404	0.10299	0.300387	35	14	0.20887
0Safe_safe_MP__ULK1	24	0.99861	0.99966	0.999995	76	2	0.094696	0.33355	0.70953	0.999995	48	9	0.094696
TRIB2__ULK1	32	0.99877	0.99983	0.999995	77	3	0.087782	0.33243	0.73516	0.999995	47	12	0.087782
0Safe_safe_GE__WNT5A	24	0.999	0.99974	0.999995	78	2	0.20105	0.0042183	0.03236	0.109606	32	13	0.20105
0Safe_safe_GE__0Safe_safe_GE	9	0.99909	0.99909	0.999995	79	0	0.37695	0.00033949	0.0020216	0.010108	22	8	0.37695
MAPK13__TRIB2	32	0.9994	0.99991	0.999995	80	3	0.2469	1.4043e-05	0.00025457	0.001671	15	20	0.2469
0Safe_safe_GE__MAPK13	24	0.99964	0.99988	0.999995	81	1	0.29399	2.5296e-06	4.4924e-05	0.000429	10	20	0.29399
0Safe_safe_GE__EZH2	24	0.99971	0.99989	0.999995	82	1	0.23726	0.0023091	0.019632	0.07108	29	15	0.23726
0Safe_safe_ACOC__0Safe_safe_MP	18	0.99988	0.99987	0.999995	83	0	0.27282	7.9095e-05	0.00079365	0.004902	17	13	0.27282
TRIB2__WNT5A	32	0.99993	0.99998	0.999995	84	2	0.1931	4.6477e-06	0.00010482	0.000786	13	24	0.1931
0Safe_safe_GE__0Safe_safe_MP	18	0.99995	0.99993	0.999995	85	0	0.24933	0.001732	0.013951	0.052317	28	13	0.24933
0Safe_safe_ACOC__WNT5A	24	0.99996	0.99996	0.999995	86	1	0.14008	0.0038099	0.029854	0.10449	30	15	0.14008
CTNNB1__ULK1	32	0.99996	0.99999	0.999995	87	1	0.22934	9.7603e-05	0.0013427	0.007049	18	22	0.22934
EZH2__TRIB2	32	0.99998	1.0	0.999995	88	1	0.2272	0.00028993	0.0033693	0.015381	21	21	0.2272
0Safe_safe_MP__MAPK13	24	0.99998	0.99999	0.999995	89	0	0.24144	0.00036214	0.0036188	0.015832	23	17	0.24144
0Safe_safe_ACOC__0Safe_safe_GE	18	0.99998	0.99999	0.999995	90	0	0.18866	0.0070264	0.045428	0.144543	33	12	0.18866
EZH2__WNT5A	32	0.99999	1.0	0.999995	91	1	0.1574	0.0011376	0.011406	0.044355	25	19	0.1574
0Safe_safe_MP__0Safe_safe_MP	9	0.99999	1.0	0.999995	92	0	0.36297	1.0647e-05	5.4907e-05	0.000443	14	9	0.36297
CTNNB1__MAPK13	32	0.99999	1.0	0.999995	93	1	0.29625	2.3902e-08	4.9915e-06	7.5e-05	5	25	0.29625
0Safe_safe_GE__TRIB2	24	0.99999	0.99999	0.999995	94	0	0.36248	2.1874e-05	0.00024458	0.001671	16	18	0.36248
TRIB2__TRIB2	16	0.99999	0.99999	0.999995	95	0	0.24356	0.00014708	0.0013228	0.007049	20	13	0.24356
CTNNB1__TRIB2	32	0.99999	1.0	0.999995	96	1	0.35826	3.0805e-10	4.9915e-06	7.5e-05	2	26	0.35826
0Safe_safe_ACOC__TRIB2	24	1.0	1.0	0.999995	97	0	0.26698	2.9802e-07	1.4975e-05	0.000175	9	20	0.26698
0Safe_safe_MP__TRIB2	24	1.0	1.0	0.999995	98	0	0.25213	2.6326e-06	4.4924e-05	0.000429	11	20	0.25213
CTNNB1__EZH2	32	1.0	1.0	0.999995	99	0	0.30944	9.3347e-08	4.9915e-06	7.5e-05	6	24	0.30944
0Safe_safe_MP__CTNNB1	24	1.0	1.0	0.999995	100	0	0.32155	3.8942e-06	5.4907e-05	0.000443	12	19	0.32155
0Safe_safe_GE__CTNNB1	24	1.0	1.0	0.999995	101	0	0.34891	9.3995e-08	4.9915e-06	7.5e-05	7	21	0.34891
0Safe_safe_MP__EZH2	24	1.0	1.0	0.999995	102	0	0.34963	5.14e-09	4.9915e-06	7.5e-05	4	22	0.34963
0Safe_safe_ACOC__CTNNB1	24	1.0	1.0	0.999995	103	0	0.2905	2.5577e-07	1.4975e-05	0.000175	8	21	0.2905
CTNNB1__WNT5A	32	1.0	1.0	0.999995	104	0	0.23579	3.3178e-09	4.9915e-06	7.5e-05	3	25	0.23579
CTNNB1__CTNNB1	16	1.0	1.0	0.999995	105	0	0.48815	6.1223e-11	4.9915e-06	7.5e-05	1	16	0.48815
