id	target_A	target_B	neg.lfc	neg.rank	neg.score	neg.p.value	neg.fdr	neg.goodsgrna	obs_lfc	exp_lfc	GI
HSP90B1__MAPK13	HSP90B1	MAPK13	-0.065758	40	0.37957	0.7707	0.999995	12	-0.326833	-0.32478065	-0.00636106561024208
IGF1R__TRIB2	IGF1R	TRIB2	-0.075349	41	0.38923	0.77901	0.999995	12	-0.336424	-0.3086915	-0.0859542729242284
HSP90B1__TRIB2	HSP90B1	TRIB2	-0.046211	42	0.53161	0.87401	0.999995	10	-0.307286	-0.24348065	-0.197758675486376
EZH2__HSP90B1	EZH2	HSP90B1	0.014388	43	0.56861	0.89333	0.999995	10	-0.246687	-0.25446065	0.0240936963388598
CTNNB1__HSP90B1	CTNNB1	HSP90B1	0.10602	52	0.88754	0.98729	0.999995	8	-0.155055	-0.20397065	0.1516094521001
EZH2__ULK1	EZH2	ULK1	-0.0050909	54	0.90039	0.98937	0.999995	8	-0.2661659	-0.1592475	-0.331383515161699
MAPK13__ULK1	MAPK13	ULK1	0.015542	55	0.92521	0.99252	0.999995	7	-0.245533	-0.2295675	-0.0494835642070411
MAPK13__WNT5A	MAPK13	WNT5A	0.092473	61	0.97574	0.99812	0.999995	6	-0.168602	-0.105585	-0.195315258879153
EZH2__MAPK13	EZH2	MAPK13	0.15583	71	0.99688	0.99973	0.999995	3	-0.105245	-0.02299	-0.254941628752634
ULK1__WNT5A	ULK1	WNT5A	0.044725	73	0.99716	0.99974	0.999995	4	-0.21635	-0.2418425	0.0790116038049543
TRIB2__ULK1	TRIB2	ULK1	0.087782	77	0.99877	0.99983	0.999995	3	-0.173293	-0.1482675	-0.0775641812698198
MAPK13__TRIB2	MAPK13	TRIB2	0.2469	80	0.9994	0.99991	0.999995	3	-0.014175	-0.01201	-0.00671021368001278
TRIB2__WNT5A	TRIB2	WNT5A	0.1931	84	0.99993	0.99998	0.999995	2	-0.067975	-0.024285	-0.135413041884415
CTNNB1__ULK1	CTNNB1	ULK1	0.22934	87	0.99996	0.99999	0.999995	1	-0.031735	-0.1087575	0.238723987606829
EZH2__TRIB2	EZH2	TRIB2	0.2272	88	0.99998	1	0.999995	1	-0.033875	0.05831	-0.285718728910845
EZH2__WNT5A	EZH2	WNT5A	0.1574	91	0.99999	1	0.999995	1	-0.103675	-0.035265	-0.212030354664977
CTNNB1__MAPK13	CTNNB1	MAPK13	0.29625	93	0.99999	1	0.999995	1	0.035175	0.0275	0.0237879399510846
CTNNB1__TRIB2	CTNNB1	TRIB2	0.35826	96	0.99999	1	0.999995	1	0.097185	0.1088	-0.0359995990269508
CTNNB1__EZH2	CTNNB1	EZH2	0.30944	99	1	1	0.999995	0	0.048365	0.09782	-0.153281116648976
CTNNB1__WNT5A	CTNNB1	WNT5A	0.23579	104	1	1	0.999995	0	-0.025285	0.015225	-0.125556931259731
